Date,State,Crop,StorageType,ColdStorage,DelayHours,StorageLoss
2024-06-24,Tamil Nadu,Fruits,Cold,1,52.5,36.68
2026-11-13,Karnataka,Vegetables,Open,0,2.53,2.43
2025-06-05,Jharkhand,Pulses,Open,0,5.02,2.76
2024-04-13,Assam,Pulses,Normal,0,30.15,14.87
2023-07-17,Tamil Nadu,Fruits,Cold,1,8.85,5.92
2026-10-31,Maharashtra,Cereals,Open,0,7.23,3.65
2024-12-04,Telangana,Cereals,Normal,0,3.47,0.79
2024-12-30,Mizoram,Fruits,Open,0,3.6,5.04
2026-02-01,Maharashtra,Fruits,Open,0,9.18,18.58
2026-12-16,Maharashtra,Fruits,Normal,0,5.62,8.67
2026-01-08,Rajasthan,Vegetables,Normal,0,8.47,9.96
2024-01-05,Kerala,Fruits,Cold,1,19.49,14.38
2026-04-25,Gujarat,Vegetables,Cold,1,1.09,0.33
2024-09-01,Jharkhand,Vegetables,Normal,0,42.96,44.67
2024-10-15,Karnataka,Fruits,Cold,1,1.03,0.41
2023-12-05,Meghalaya,Vegetables,Open,0,2.5,2.06
2023-02-20,Gujarat,Vegetables,Cold,1,50.86,28.85
2026-12-11,Madhya Pradesh,Fruits,Cold,1,7.83,4.2
2023-12-31,Nagaland,Fruits,Cold,1,9.06,6.01
2023-04-04,Uttar Pradesh,Pulses,Cold,1,4.85,0.87
2023-07-24,Karnataka,Vegetables,Open,0,7.26,7.23
2025-07-16,Uttar Pradesh,Fruits,Cold,1,2.86,1.54
2024-11-24,Sikkim,Fruits,Normal,0,43.19,58.93
2023-05-13,Gujarat,Cereals,Open,0,6.5,2.43
2026-08-16,Uttar Pradesh,Fruits,Open,0,2.89,4.41
2026-10-21,Jharkhand,Fruits,Cold,1,7.19,4.09
2026-09-02,West Bengal,Vegetables,Normal,0,20.7,18.17
2025-12-30,Tripura,Vegetables,Cold,1,68.52,43.92
2024-05-20,Uttar Pradesh,Vegetables,Open,0,11.85,14.99
2023-07-10,Punjab,Fruits,Cold,1,24.45,15.82
2025-03-26,Tamil Nadu,Cereals,Open,0,36.42,17.19
2025-02-01,Karnataka,Fruits,Open,0,28.86,54.31
2023-06-07,Goa,Vegetables,Normal,0,12.37,10.93
2023-02-16,Maharashtra,Cereals,Cold,1,17.98,3.75
2024-04-22,Meghalaya,Fruits,Open,0,9.68,16.54
2025-02-14,Uttar Pradesh,Cereals,Open,0,13.08,5.79
2026-12-03,Tamil Nadu,Pulses,Open,0,1.59,0.73
2024-08-03,Punjab,Vegetables,Normal,0,21.56,16.84
2024-12-05,Haryana,Fruits,Open,0,44.26,89.94
2024-09-04,Mizoram,Vegetables,Cold,1,61.7,38.29
2023-03-19,Tamil Nadu,Pulses,Cold,1,44.75,11.6
2026-09-17,Nagaland,Cereals,Open,0,8.12,3.43
2026-09-24,Arunachal Pradesh,Cereals,Open,0,2.95,0.95
2026-09-03,Uttarakhand,Vegetables,Normal,0,39.35,39.38
2025-03-05,Nagaland,Cereals,Normal,0,11.55,2.91
2023-03-28,Arunachal Pradesh,Cereals,Cold,1,28.61,4.88
2024-11-18,Himachal Pradesh,Fruits,Normal,0,5.21,5.65
2023-07-26,Andhra Pradesh,Pulses,Normal,0,4.64,1.71
2025-01-09,Bihar,Fruits,Normal,0,3.82,4.32
2026-11-11,Telangana,Vegetables,Cold,1,20.55,10.03
2023-07-29,Tamil Nadu,Cereals,Open,0,4.27,1.6
2025-07-24,Madhya Pradesh,Cereals,Normal,0,30.37,10.26
2024-06-25,Kerala,Fruits,Normal,0,30.18,49.91
2026-06-29,Tripura,Cereals,Cold,1,0.9,0.09
2024-04-05,Sikkim,Cereals,Cold,1,17.63,2.75
2026-08-19,Mizoram,Vegetables,Cold,1,10.39,4.92
2024-11-20,Himachal Pradesh,Vegetables,Normal,0,2.01,1.41
2024-07-15,Assam,Pulses,Normal,0,5.82,2.07
2023-03-04,Jharkhand,Vegetables,Cold,1,1.14,0.38
2023-11-18,Chhattisgarh,Vegetables,Normal,0,4.04,2.94
2025-12-19,Odisha,Vegetables,Cold,1,26.9,16.16
2025-03-12,Odisha,Pulses,Cold,1,45.81,15.58
2025-01-09,Goa,Cereals,Open,0,2.17,0.76
2024-10-24,Tamil Nadu,Vegetables,Normal,0,2.13,1.63
2025-04-09,Nagaland,Pulses,Cold,1,4.13,0.69
2024-11-21,Rajasthan,Cereals,Open,0,9.04,5.01
2023-07-30,Andhra Pradesh,Fruits,Open,0,56.13,144.08
2025-10-10,Kerala,Cereals,Normal,0,7.62,2.35
2026-01-28,Uttarakhand,Cereals,Open,0,18.46,8.21
2025-08-09,Kerala,Fruits,Open,0,48.48,97.67
2025-10-22,Odisha,Fruits,Cold,1,12.96,12.47
2023-07-01,Telangana,Fruits,Normal,0,17.81,22.3
2025-03-16,Maharashtra,Vegetables,Normal,0,12.66,11.63
2024-02-07,Kerala,Cereals,Open,0,15.53,6.44
2024-10-11,Andhra Pradesh,Cereals,Normal,0,15.07,4.99
2024-05-02,Andhra Pradesh,Cereals,Cold,1,43.21,7.45
2023-05-26,Manipur,Pulses,Cold,1,30.97,7.47
2024-11-28,Rajasthan,Pulses,Cold,1,39.68,13.97
2024-11-21,Manipur,Vegetables,Cold,1,6.93,3.07
2024-02-23,Arunachal Pradesh,Fruits,Open,0,3.02,3.87
2026-12-12,Sikkim,Pulses,Open,0,3.04,1.43
2025-06-08,Meghalaya,Pulses,Open,0,5.34,3.22
2024-05-20,Maharashtra,Pulses,Cold,1,5.26,1.31
2023-04-13,Gujarat,Fruits,Normal,0,2.93,3.29
2023-01-21,Chhattisgarh,Fruits,Open,0,17.85,32.63
2025-07-02,Madhya Pradesh,Vegetables,Normal,0,0.6,0.37
2024-09-08,Tamil Nadu,Cereals,Normal,0,55.69,19.84
2025-11-15,Goa,Vegetables,Normal,0,17.14,16.26
2026-02-12,Himachal Pradesh,Vegetables,Cold,1,15.25,7.37
2026-04-27,Kerala,Pulses,Cold,1,6.62,1.5
2023-08-20,Tripura,Fruits,Normal,0,3.81,3.89
2024-05-10,Haryana,Pulses,Normal,0,3.74,1.27
2023-05-16,Goa,Vegetables,Normal,0,6.37,4.64
2025-12-24,Maharashtra,Vegetables,Cold,1,69.37,44.2
2025-01-15,Himachal Pradesh,Cereals,Open,0,12.97,6.02
2024-12-17,Andhra Pradesh,Pulses,Open,0,2.43,1.09
2025-02-14,Mizoram,Pulses,Normal,0,4.84,1.75
2025-02-15,Chhattisgarh,Pulses,Normal,0,5.83,2.21
2025-05-31,Arunachal Pradesh,Cereals,Open,0,18.05,8.96
2023-04-16,Goa,Pulses,Normal,0,20.78,9.32
2024-01-08,Jharkhand,Pulses,Open,0,0.58,0.22
2023-09-15,Madhya Pradesh,Cereals,Open,0,17.85,7.76
2023-08-29,West Bengal,Fruits,Normal,0,11.88,13.53
2026-05-11,Kerala,Pulses,Normal,0,1.65,0.54
2024-10-29,Uttar Pradesh,Vegetables,Cold,1,15.37,7.98
2025-01-31,Chhattisgarh,Vegetables,Open,0,10.01,12.42
2023-12-11,Rajasthan,Cereals,Normal,0,45.69,25.1
2025-03-25,Karnataka,Cereals,Normal,0,0.61,0.11
2024-06-23,Andhra Pradesh,Pulses,Normal,0,15.6,8.11
2023-07-27,Uttarakhand,Pulses,Cold,1,5.67,1.25
2023-02-01,Uttarakhand,Cereals,Normal,0,5.39,1.38
2026-08-01,Rajasthan,Cereals,Normal,0,2.37,0.76
2023-05-06,Assam,Vegetables,Open,0,47.8,77.21
2025-08-06,Jharkhand,Cereals,Open,0,5.99,2.41
2023-08-16,Punjab,Vegetables,Normal,0,71.06,70.77
2025-02-18,Haryana,Vegetables,Cold,1,5.52,2.19
2024-01-11,Tripura,Pulses,Cold,1,17.36,3.94
2023-08-25,West Bengal,Fruits,Normal,0,8.19,9.85
2025-03-15,Uttar Pradesh,Fruits,Open,0,10.03,18.06
2026-10-30,Jharkhand,Vegetables,Cold,1,18.94,8.8
2023-12-22,Jharkhand,Vegetables,Open,0,21.13,27.05
2025-04-07,Arunachal Pradesh,Pulses,Cold,1,30.14,7.81
2023-11-03,Tripura,Vegetables,Open,0,8.17,9.67
2026-12-30,Jharkhand,Cereals,Normal,0,4.81,1.08
2026-09-30,Kerala,Cereals,Normal,0,14.82,4.89
2023-12-09,Tamil Nadu,Cereals,Normal,0,18.03,5.6
2025-06-14,West Bengal,Vegetables,Normal,0,33.11,34.05
2023-06-13,Maharashtra,Fruits,Open,0,24.04,57.01
2025-04-16,Himachal Pradesh,Vegetables,Cold,1,47.57,26.87
2026-08-21,Andhra Pradesh,Cereals,Normal,0,5.88,1.51
2024-02-01,Gujarat,Fruits,Open,0,10.82,21.72
2025-12-18,Gujarat,Fruits,Open,0,8.58,12.92
2025-02-16,Uttarakhand,Cereals,Normal,0,2.71,0.71
2026-02-11,Mizoram,Cereals,Normal,0,4.37,1.0
2023-07-07,Odisha,Cereals,Normal,0,46.41,21.18
2023-12-17,Meghalaya,Fruits,Cold,1,4.98,3.25
2024-08-15,Rajasthan,Pulses,Cold,1,32.61,12.95
2026-02-08,Mizoram,Cereals,Normal,0,0.98,0.19
2024-01-23,Bihar,Fruits,Normal,0,33.16,49.0
2026-06-12,Tamil Nadu,Fruits,Cold,1,1.21,0.54
2023-08-08,Gujarat,Pulses,Normal,0,32.7,16.01
2023-09-16,Uttarakhand,Fruits,Normal,0,10.33,15.05
2025-05-28,Kerala,Cereals,Cold,1,11.67,1.49
2023-12-14,Telangana,Vegetables,Cold,1,7.75,2.78
2023-02-02,Mizoram,Pulses,Open,0,19.51,12.99
2026-02-18,Goa,Pulses,Open,0,6.48,3.8
2025-11-17,Manipur,Cereals,Open,0,1.62,0.51
2025-02-17,Assam,Vegetables,Open,0,0.46,0.35
2023-07-30,Andhra Pradesh,Pulses,Open,0,29.61,23.54
2025-11-30,West Bengal,Pulses,Normal,0,17.28,8.25
2023-01-12,Nagaland,Fruits,Normal,0,4.91,5.77
2025-03-23,Tripura,Vegetables,Open,0,9.15,11.48
2024-12-07,Arunachal Pradesh,Vegetables,Open,0,57.18,76.35
2026-05-17,Andhra Pradesh,Fruits,Normal,0,15.9,20.52
2023-11-10,Maharashtra,Cereals,Open,0,24.73,13.9
2024-02-11,Tripura,Cereals,Normal,0,10.39,3.06
2024-05-10,Uttarakhand,Pulses,Open,0,12.96,9.18
2025-08-12,Karnataka,Pulses,Normal,0,37.48,20.33
2023-02-03,Himachal Pradesh,Cereals,Open,0,8.8,3.4
2023-08-30,Rajasthan,Pulses,Open,0,61.67,73.04
2025-09-28,Maharashtra,Cereals,Cold,1,22.86,4.06
2024-11-22,Arunachal Pradesh,Fruits,Open,0,1.12,1.59
2024-03-20,Telangana,Pulses,Open,0,44.57,31.96
2025-09-12,Tamil Nadu,Vegetables,Cold,1,30.65,14.68
2024-12-22,Karnataka,Vegetables,Cold,1,9.12,3.52
2024-08-16,Gujarat,Vegetables,Open,0,4.76,4.98
2026-06-10,Meghalaya,Cereals,Open,0,8.36,3.0
2024-04-29,Madhya Pradesh,Pulses,Open,0,2.27,1.19
2024-03-16,Kerala,Cereals,Normal,0,28.65,9.64
2024-05-20,Bihar,Cereals,Normal,0,11.85,3.79
2024-10-11,Chhattisgarh,Fruits,Cold,1,15.07,11.29
2023-10-24,Assam,Cereals,Normal,0,38.85,14.29
2025-12-28,Chhattisgarh,Cereals,Cold,1,15.39,2.21
2023-05-14,Assam,Vegetables,Cold,1,19.85,10.46
2026-05-26,Tripura,Cereals,Normal,0,14.55,4.07
2026-12-15,Jharkhand,Cereals,Open,0,24.35,11.5
2023-05-17,Uttar Pradesh,Fruits,Normal,0,40.43,66.08
2025-11-06,Mizoram,Cereals,Normal,0,0.77,0.15
2025-04-13,Kerala,Cereals,Open,0,14.32,5.11
2025-09-25,Meghalaya,Cereals,Cold,1,26.88,4.45
2023-08-09,Bihar,Vegetables,Open,0,82.2,119.56
2025-10-27,Goa,Pulses,Cold,1,21.27,4.51
2025-06-02,Goa,Pulses,Normal,0,9.05,4.19
2024-02-10,Meghalaya,Pulses,Cold,1,3.21,0.62
2026-10-03,Andhra Pradesh,Fruits,Open,0,33.4,76.62
2023-10-25,Goa,Vegetables,Open,0,36.66,50.64
2025-01-14,Bihar,Pulses,Normal,0,11.42,5.42
2024-09-11,Sikkim,Cereals,Open,0,16.28,6.82
2025-09-02,Himachal Pradesh,Pulses,Normal,0,11.54,4.87
2026-10-15,West Bengal,Fruits,Normal,0,12.23,16.13
2025-04-03,Nagaland,Cereals,Open,0,15.0,6.91
2026-05-09,Manipur,Pulses,Cold,1,27.93,6.73
2023-08-23,Uttarakhand,Cereals,Open,0,73.91,37.32
2025-04-15,Kerala,Fruits,Normal,0,22.32,29.22
2026-05-06,Manipur,Fruits,Cold,1,9.71,5.47
2026-10-10,Uttar Pradesh,Cereals,Cold,1,2.02,0.25
2023-09-15,Goa,Cereals,Open,0,17.85,6.83
2024-04-12,Kerala,Pulses,Cold,1,26.43,6.14
2024-02-14,Himachal Pradesh,Fruits,Cold,1,14.67,9.82
2024-01-24,Rajasthan,Cereals,Normal,0,3.25,1.23
2023-11-22,Uttar Pradesh,Cereals,Open,0,3.37,1.13
2025-08-24,Mizoram,Fruits,Open,0,6.47,11.7
2024-07-07,Meghalaya,Vegetables,Open,0,34.68,54.91
2025-09-23,Maharashtra,Cereals,Normal,0,6.36,1.8
2024-12-10,Manipur,Cereals,Cold,1,6.63,0.84
2023-01-09,Karnataka,Cereals,Normal,0,74.51,24.96
2023-09-23,Kerala,Pulses,Normal,0,14.04,5.95
2026-03-29,Gujarat,Pulses,Cold,1,13.33,3.23
2026-02-15,Meghalaya,Pulses,Normal,0,6.86,2.38
2025-10-30,Assam,Fruits,Open,0,13.2,27.99
2024-03-20,Chhattisgarh,Pulses,Normal,0,23.06,12.44
2025-07-16,Punjab,Pulses,Normal,0,41.92,18.64
2024-03-05,West Bengal,Fruits,Cold,1,97.01,86.5
2026-05-09,West Bengal,Vegetables,Normal,0,3.33,2.11
2024-03-27,Goa,Vegetables,Cold,1,11.35,4.75
2026-10-17,Goa,Fruits,Normal,0,15.78,19.59
2026-03-12,Madhya Pradesh,Fruits,Normal,0,1.85,1.83
2024-01-02,Rajasthan,Pulses,Open,0,10.05,9.0
2024-04-29,Telangana,Pulses,Normal,0,2.27,0.82
2023-08-22,Rajasthan,Pulses,Cold,1,26.29,9.54
2023-08-08,Arunachal Pradesh,Fruits,Normal,0,10.83,13.71
2024-01-21,Himachal Pradesh,Cereals,Cold,1,9.79,1.38
2025-03-16,Punjab,Cereals,Open,0,5.4,1.43
2024-11-03,West Bengal,Pulses,Normal,0,12.33,5.35
2024-12-14,Goa,Fruits,Cold,1,38.0,27.07
2023-08-03,Madhya Pradesh,Pulses,Normal,0,47.61,28.52
2023-10-22,Bihar,Cereals,Normal,0,25.9,9.42
2023-11-25,West Bengal,Vegetables,Cold,1,15.93,8.04
2024-05-26,West Bengal,Pulses,Open,0,15.87,9.44
2026-05-24,Kerala,Fruits,Cold,1,33.33,26.32
2023-03-11,Uttarakhand,Vegetables,Normal,0,39.44,43.9
2024-02-16,Jharkhand,Fruits,Normal,0,37.62,54.07
2025-08-16,Mizoram,Pulses,Open,0,4.39,2.2
2025-06-08,Andhra Pradesh,Cereals,Cold,1,7.72,1.09
2026-02-03,Sikkim,Cereals,Normal,0,20.55,7.43
2024-11-28,Arunachal Pradesh,Vegetables,Cold,1,21.45,11.33
2024-09-24,Madhya Pradesh,Fruits,Cold,1,152.77,131.86
2025-08-16,Odisha,Pulses,Normal,0,22.48,15.73
2023-02-05,Gujarat,Cereals,Normal,0,12.9,3.24
2023-07-13,Punjab,Cereals,Cold,1,10.09,1.03
2026-11-13,West Bengal,Pulses,Cold,1,17.61,3.5
2023-09-05,Haryana,Cereals,Cold,1,23.99,4.13
2023-01-10,Odisha,Pulses,Cold,1,2.82,0.66
2026-04-28,Nagaland,Vegetables,Open,0,27.98,42.77
2024-10-28,Andhra Pradesh,Fruits,Normal,0,88.1,160.53
2026-10-24,Andhra Pradesh,Pulses,Normal,0,7.93,3.17
2026-01-03,West Bengal,Fruits,Cold,1,19.95,14.27
2023-05-30,Chhattisgarh,Cereals,Open,0,8.3,3.09
2024-06-17,Tripura,Fruits,Normal,0,31.02,52.18
2023-11-15,Chhattisgarh,Pulses,Open,0,14.53,9.46
2025-10-04,Mizoram,Cereals,Normal,0,2.37,0.53
2025-09-23,Sikkim,Pulses,Normal,0,0.87,0.24
2026-11-04,Tamil Nadu,Vegetables,Cold,1,16.86,7.31
2024-05-30,Rajasthan,Cereals,Normal,0,9.88,4.04
2023-10-17,Bihar,Pulses,Open,0,18.99,10.97
2026-09-10,Tamil Nadu,Fruits,Normal,0,6.93,7.86
2023-12-14,Gujarat,Vegetables,Cold,1,11.13,5.42
2024-03-30,Maharashtra,Vegetables,Cold,1,7.79,3.37
2025-06-20,Kerala,Pulses,Open,0,6.89,3.67
2026-12-19,Assam,Cereals,Normal,0,7.74,1.8
2026-08-05,Uttar Pradesh,Fruits,Open,0,11.97,19.95
2025-03-10,Mizoram,Vegetables,Cold,1,5.23,2.26
2025-01-09,Manipur,Fruits,Cold,1,81.33,76.4
2026-08-13,Kerala,Vegetables,Normal,0,16.02,13.25
2026-05-09,Manipur,Fruits,Cold,1,3.33,1.84
2026-08-31,West Bengal,Cereals,Normal,0,5.78,1.55
2025-06-03,Uttarakhand,Vegetables,Normal,0,2.71,1.69
2023-05-24,Nagaland,Pulses,Open,0,2.92,1.58
2026-02-11,Chhattisgarh,Pulses,Cold,1,12.69,2.49
2023-08-14,Tripura,Vegetables,Normal,0,3.72,2.95
2025-10-07,Bihar,Pulses,Cold,1,10.9,2.65
2023-03-15,Chhattisgarh,Fruits,Cold,1,33.18,23.8
2025-07-01,Meghalaya,Fruits,Normal,0,6.87,8.32
2025-05-13,Rajasthan,Vegetables,Open,0,12.72,23.66
2023-06-01,Madhya Pradesh,Vegetables,Open,0,3.65,3.69
2025-04-03,Uttarakhand,Fruits,Normal,0,15.0,22.78
2026-03-27,Tamil Nadu,Cereals,Cold,1,26.33,4.02
2025-11-13,Mizoram,Cereals,Open,0,18.45,8.99
2025-03-01,Arunachal Pradesh,Cereals,Open,0,3.12,1.09
2025-09-27,Jharkhand,Pulses,Normal,0,15.46,7.97
2026-11-05,Assam,Fruits,Normal,0,72.12,130.27
2026-05-12,Assam,Cereals,Normal,0,17.7,6.21
2025-06-14,Meghalaya,Vegetables,Cold,1,18.06,9.03
2024-05-01,Gujarat,Fruits,Cold,1,10.0,6.91
2026-06-11,Manipur,Pulses,Normal,0,14.9,5.71
2025-01-03,Manipur,Vegetables,Cold,1,6.08,2.41
2025-06-15,Nagaland,Pulses,Open,0,15.39,8.91
2025-01-06,Uttarakhand,Cereals,Open,0,8.58,3.06
2026-03-04,Haryana,Vegetables,Open,0,50.4,67.27
2025-01-18,Bihar,Fruits,Open,0,3.3,5.63
2026-05-10,Uttar Pradesh,Pulses,Cold,1,15.83,4.01
2026-01-17,Goa,Pulses,Normal,0,39.79,17.73
2026-05-10,Maharashtra,Vegetables,Open,0,15.83,23.47
2023-05-14,Mizoram,Fruits,Normal,0,8.13,9.41
2024-11-22,Sikkim,Cereals,Cold,1,17.24,2.29
2026-09-01,Karnataka,Fruits,Cold,1,65.67,49.85
2025-04-29,Goa,Pulses,Cold,1,14.44,3.0
2025-01-08,Telangana,Vegetables,Open,0,6.36,7.01
2025-06-03,Himachal Pradesh,Vegetables,Open,0,8.97,10.3
2026-02-01,Bihar,Vegetables,Normal,0,3.0,2.06
2025-09-10,Kerala,Vegetables,Cold,1,54.55,32.47
2025-11-21,Haryana,Cereals,Normal,0,12.29,3.33
2024-01-25,Uttar Pradesh,Pulses,Normal,0,17.47,7.53
2025-12-25,Uttarakhand,Vegetables,Normal,0,1.5,0.87
2023-05-02,Maharashtra,Fruits,Open,0,37.09,96.86
2026-10-14,Andhra Pradesh,Cereals,Open,0,4.93,1.7
2025-10-29,Punjab,Pulses,Cold,1,38.72,6.88
2023-01-09,Uttarakhand,Fruits,Cold,1,26.55,18.12
2024-01-29,West Bengal,Vegetables,Open,0,67.41,108.9
2023-08-11,Maharashtra,Cereals,Normal,0,4.32,1.13
2025-03-10,Sikkim,Vegetables,Cold,1,14.76,6.04
2026-08-19,Karnataka,Vegetables,Open,0,9.06,10.89
2023-07-15,Arunachal Pradesh,Fruits,Normal,0,51.78,76.94
2026-10-16,Goa,Vegetables,Cold,1,13.89,5.29
2023-03-04,Karnataka,Cereals,Normal,0,35.47,13.84
2024-06-17,Punjab,Fruits,Cold,1,31.02,16.04
2025-02-12,Tamil Nadu,Cereals,Cold,1,7.76,1.08
2025-06-14,Nagaland,Cereals,Cold,1,10.44,1.63
2026-08-15,Mizoram,Pulses,Normal,0,4.67,1.76
2026-03-10,Assam,Pulses,Normal,0,13.09,6.12
2023-10-30,Odisha,Fruits,Open,0,31.23,80.32
2025-01-09,Haryana,Vegetables,Normal,0,52.13,55.45
2023-06-25,Meghalaya,Fruits,Cold,1,11.29,6.39
2025-11-18,Andhra Pradesh,Fruits,Cold,1,12.7,7.26
2025-05-16,Goa,Vegetables,Normal,0,8.53,6.92
2023-09-15,Rajasthan,Cereals,Open,0,45.69,35.3
2024-10-18,Gujarat,Cereals,Open,0,9.58,3.5
2023-10-31,Jharkhand,Cereals,Open,0,9.68,4.29
2026-01-04,Goa,Vegetables,Normal,0,6.44,4.68
2025-03-23,Gujarat,Cereals,Normal,0,9.0,2.74
2025-02-22,Maharashtra,Pulses,Normal,0,3.0,1.38
2023-01-11,Gujarat,Vegetables,Normal,0,3.82,2.9
2025-12-22,Kerala,Fruits,Open,0,1.54,2.09
2025-06-02,Sikkim,Cereals,Open,0,5.08,1.86
2025-08-03,Kerala,Fruits,Normal,0,8.9,11.6
2023-01-18,Maharashtra,Fruits,Open,0,31.42,87.37
2026-10-03,Madhya Pradesh,Vegetables,Cold,1,2.25,0.8
2026-07-02,West Bengal,Fruits,Normal,0,16.13,22.8
2024-10-12,Rajasthan,Cereals,Normal,0,5.03,2.2
2025-02-09,Rajasthan,Fruits,Normal,0,29.49,65.49
2023-05-12,Karnataka,Vegetables,Open,0,14.46,19.66
2023-10-18,Meghalaya,Fruits,Open,0,17.04,29.9
2023-01-14,Tamil Nadu,Vegetables,Cold,1,1.77,0.66
2025-11-25,Odisha,Fruits,Normal,0,15.35,28.19
2024-11-17,Assam,Vegetables,Open,0,11.4,13.9
2023-11-18,Sikkim,Vegetables,Cold,1,18.43,7.97
2026-06-17,Jharkhand,Pulses,Open,0,2.75,1.25
2025-10-16,Assam,Vegetables,Cold,1,8.42,3.44
2023-06-27,Tripura,Cereals,Open,0,2.29,0.76
2023-12-22,Nagaland,Fruits,Normal,0,22.42,33.45
2025-12-08,Haryana,Vegetables,Normal,0,29.24,32.69
2026-12-21,Manipur,Vegetables,Normal,0,8.05,7.36
2025-01-27,Assam,Vegetables,Normal,0,5.47,3.64
2025-05-09,Gujarat,Pulses,Normal,0,39.33,21.49
2023-02-28,Goa,Cereals,Open,0,27.73,13.8
2025-05-18,Maharashtra,Fruits,Normal,0,6.74,10.7
2025-12-19,Chhattisgarh,Cereals,Normal,0,12.5,3.32
2024-12-26,Telangana,Vegetables,Open,0,3.14,3.54
2024-01-01,Karnataka,Pulses,Normal,0,12.6,5.56
2026-12-26,West Bengal,Vegetables,Open,0,6.73,6.71
2024-11-30,Rajasthan,Pulses,Normal,0,13.7,9.37
2024-03-12,Andhra Pradesh,Vegetables,Cold,1,5.12,1.92
2025-07-08,Tamil Nadu,Vegetables,Normal,0,2.24,1.7
2023-01-07,Rajasthan,Pulses,Normal,0,1.35,0.64
2024-05-15,Arunachal Pradesh,Fruits,Normal,0,9.02,10.18
2024-01-22,Himachal Pradesh,Vegetables,Normal,0,70.76,73.2
2023-09-29,Bihar,Fruits,Open,0,4.25,6.15
2024-03-12,Jharkhand,Cereals,Normal,0,7.75,2.28
2025-06-15,Kerala,Vegetables,Open,0,23.53,27.81
2026-05-28,Uttarakhand,Pulses,Open,0,17.47,11.57
2026-12-25,Maharashtra,Fruits,Normal,0,17.12,31.19
2024-09-10,Sikkim,Fruits,Cold,1,12.18,7.78
2023-11-07,Bihar,Pulses,Open,0,7.99,4.32
2023-08-04,Mizoram,Vegetables,Cold,1,2.84,0.97
2025-10-22,Karnataka,Vegetables,Normal,0,1.13,0.71
2025-02-22,Goa,Fruits,Open,0,2.04,2.5
2026-11-25,Haryana,Vegetables,Open,0,17.92,22.78
2025-04-28,Karnataka,Pulses,Normal,0,1.09,0.32
2026-07-15,Assam,Cereals,Cold,1,41.95,8.3
2025-03-30,Mizoram,Fruits,Open,0,2.19,3.12
