State,Crop,Date,Rainfall,Production_MT,ProductionRisk
Gujarat,Cereals,2024-09-04,800,86.75259950459757,13.247400495402431
Bihar,Fruits,2023-03-17,1100,45.05757275079259,54.94242724920741
Madhya Pradesh,Fruits,2023-10-17,1000,52.514531414507154,47.485468585492846
Nagaland,Pulses,2025-08-26,2100,4.8806371936471225,95.11936280635288
Madhya Pradesh,Vegetables,2026-04-16,1000,53.847545720618335,46.152454279381665
West Bengal,Fruits,2024-05-28,1600,27.18613519898348,72.81386480101652
Gujarat,Pulses,2024-02-15,800,52.12516292292953,47.87483707707047
West Bengal,Cereals,2026-03-18,1600,33.16633588951973,66.83366411048027
Mizoram,Cereals,2025-01-30,2400,2.4719957821493983,97.52800421785061
Meghalaya,Pulses,2024-07-16,2600,0.8140456025096298,99.18595439749038
Bihar,Cereals,2024-12-23,1100,65.93803705744946,34.06196294255054
Manipur,Pulses,2024-11-03,2200,4.427716783500053,95.57228321649995
Arunachal Pradesh,Cereals,2023-03-06,2800,0.34764385610090687,99.6523561438991
Madhya Pradesh,Vegetables,2023-04-26,1000,69.01180282824932,30.988197171750684
Kerala,Cereals,2026-02-14,3000,0.1565488446533858,99.84345115534661
Madhya Pradesh,Fruits,2025-10-14,1000,51.77063350168017,48.22936649831983
Madhya Pradesh,Fruits,2023-10-11,1000,55.5856841361813,44.4143158638187
West Bengal,Fruits,2025-08-17,1600,29.599786626074273,70.40021337392572
Meghalaya,Cereals,2026-02-24,2600,1.1381288820259428,98.86187111797406
Arunachal Pradesh,Fruits,2023-10-25,2800,0.25715653525645316,99.74284346474354
Himachal Pradesh,Vegetables,2024-06-30,1600,29.210782076646048,70.78921792335396
Manipur,Cereals,2026-06-12,2200,7.38750158002725,92.61249841997275
Madhya Pradesh,Vegetables,2026-07-23,1000,63.26469092276904,36.73530907723096
Jharkhand,Fruits,2023-07-12,1400,31.972515840562732,68.02748415943726
Nagaland,Cereals,2023-12-16,2100,8.007271552799722,91.99272844720028
Tripura,Vegetables,2025-09-05,2300,3.86529999937265,96.13470000062735
Nagaland,Vegetables,2025-10-05,2100,7.467612168745254,92.53238783125475
Uttarakhand,Cereals,2026-03-26,1500,50.55849273122769,49.44150726877231
Bihar,Pulses,2024-06-18,1100,35.72705054560193,64.27294945439807
Meghalaya,Vegetables,2024-06-02,2600,1.1224748595077167,98.87752514049228
Andhra Pradesh,Fruits,2025-12-02,1000,55.551484390617816,44.448515609382184
Assam,Fruits,2023-09-27,2000,8.5105961122872,91.4894038877128
Jharkhand,Pulses,2025-11-21,1400,27.12343177138716,72.87656822861284
Nagaland,Fruits,2024-04-29,2100,5.66553516860173,94.33446483139826
Uttar Pradesh,Pulses,2024-02-19,900,44.56409870097086,55.43590129902914
Assam,Cereals,2025-07-08,2000,13.826094644211013,86.17390535578899
Uttar Pradesh,Pulses,2023-06-29,900,38.385624549831704,61.614375450168296
Telangana,Pulses,2025-08-22,900,45.515264491511054,54.484735508488946
Sikkim,Pulses,2023-07-17,1800,11.604258229135695,88.3957417708643
Jharkhand,Cereals,2025-08-18,1400,47.354860171801874,52.645139828198126
Mizoram,Cereals,2025-08-27,2400,2.7218243976774357,97.27817560232256
Madhya Pradesh,Cereals,2024-11-08,1000,63.267270680568714,36.732729319431286
Uttar Pradesh,Cereals,2024-07-29,900,67.11092768707982,32.88907231292018
Punjab,Cereals,2026-04-15,650,85.25704568677132,14.74295431322868
Uttar Pradesh,Pulses,2026-09-10,900,46.451382146995016,53.548617853004984
Madhya Pradesh,Pulses,2026-06-20,1000,44.564213263421266,55.435786736578734
Odisha,Fruits,2023-07-26,1500,32.064488109037015,67.93551189096299
Himachal Pradesh,Cereals,2026-05-15,1600,43.040506149276496,56.959493850723504
Sikkim,Fruits,2023-02-10,1800,17.718544887247088,82.28145511275291
Bihar,Fruits,2025-11-29,1100,39.49761306618142,60.50238693381858
Meghalaya,Cereals,2025-01-13,2600,1.146419254444433,98.85358074555556
Manipur,Cereals,2026-10-28,2200,6.851018403810448,93.14898159618956
Himachal Pradesh,Pulses,2026-08-19,1600,22.064632984026783,77.93536701597321
Kerala,Pulses,2024-07-06,3000,0.1033045659594293,99.89669543404057
Tripura,Fruits,2026-12-13,2300,3.513443501733479,96.48655649826652
Kerala,Fruits,2024-08-29,3000,0.1272467194842565,99.87275328051574
Telangana,Vegetables,2026-12-01,900,65.61485522383299,34.38514477616701
Assam,Fruits,2025-04-06,2000,9.950575174062534,90.04942482593746
Goa,Pulses,2025-11-15,3000,0.08521299574941953,99.91478700425058
Uttar Pradesh,Pulses,2026-08-09,900,45.670903790375895,54.329096209624105
Goa,Fruits,2025-02-26,3000,0.11056865476194322,99.88943134523805
Manipur,Vegetables,2024-02-29,2200,6.267498632849326,93.73250136715068
Tamil Nadu,Cereals,2024-08-30,1000,74.6296248141532,25.370375185846797
Karnataka,Vegetables,2024-12-12,950,64.87972187055738,35.120278129442625
Chhattisgarh,Fruits,2026-07-28,1300,37.87875662920417,62.12124337079583
Sikkim,Fruits,2024-02-15,1800,15.318590676604773,84.68140932339523
Punjab,Pulses,2023-02-05,650,50.82380003118584,49.17619996881416
Manipur,Vegetables,2024-03-26,2200,5.921554401786317,94.07844559821368
Arunachal Pradesh,Pulses,2025-08-14,2800,0.21679876178029409,99.7832012382197
Tripura,Cereals,2024-12-11,2300,3.8974447620414887,96.10255523795851
Uttar Pradesh,Vegetables,2023-08-12,900,57.267228494641074,42.732771505358926
Telangana,Vegetables,2024-01-03,900,72.92083345268493,27.07916654731507
Punjab,Vegetables,2024-09-14,650,70.49866928503683,29.501330714963174
Sikkim,Pulses,2024-04-11,1800,11.988158288300017,88.01184171169999
Sikkim,Pulses,2025-04-05,1800,15.095065621938895,84.9049343780611
Telangana,Vegetables,2024-07-20,900,64.88299111699313,35.117008883006875
Bihar,Fruits,2025-12-20,1100,45.82324566912306,54.17675433087694
Gujarat,Vegetables,2025-03-15,800,61.60696569420125,38.39303430579875
Andhra Pradesh,Cereals,2024-03-07,1000,77.11624188857948,22.88375811142052
Mizoram,Cereals,2023-08-18,2400,2.4065838075758252,97.59341619242417
Mizoram,Fruits,2026-11-24,2400,2.0773961540835293,97.92260384591647
Himachal Pradesh,Cereals,2024-12-23,1600,42.05729254310159,57.94270745689841
Manipur,Cereals,2023-02-03,2200,5.6689500064625955,94.3310499935374
Haryana,Vegetables,2025-07-16,650,62.3136391439318,37.6863608560682
Goa,Vegetables,2026-07-27,3000,0.1416447986731459,99.85835520132686
Rajasthan,Cereals,2024-07-27,300,32.8809691827702,67.1190308172298
Sikkim,Fruits,2024-10-03,1800,18.039487060195523,81.96051293980447
Gujarat,Fruits,2026-01-31,800,54.0065118364331,45.9934881635669
Uttar Pradesh,Vegetables,2025-03-07,900,66.4171813049043,33.582818695095696
Rajasthan,Pulses,2024-03-15,300,19.98813633426124,80.01186366573876
Tamil Nadu,Fruits,2025-09-20,1000,45.823522224103776,54.176477775896224
Assam,Fruits,2023-10-16,2000,8.890613867034153,91.10938613296585
Sikkim,Vegetables,2026-11-12,1800,22.16375585929298,77.83624414070702
Rajasthan,Pulses,2025-12-28,300,20.728298998603474,79.27170100139652
Telangana,Pulses,2025-08-29,900,50.47346612216253,49.52653387783747
Bihar,Fruits,2024-02-27,1100,48.90162967636455,51.09837032363545
Rajasthan,Vegetables,2025-02-12,300,31.43032112662849,68.56967887337152
Gujarat,Cereals,2026-02-23,800,89.35536051019508,10.644639489804916
Telangana,Vegetables,2023-08-14,900,76.99457205021685,23.005427949783154
Kerala,Cereals,2023-07-02,3000,0.1618877910811713,99.83811220891883
Manipur,Pulses,2023-10-07,2200,4.093737379919719,95.90626262008028
Tamil Nadu,Cereals,2026-10-11,1000,83.77458284327189,16.225417156728113
Goa,Cereals,2024-06-17,3000,0.17458859577323319,99.82541140422677
Karnataka,Cereals,2023-12-29,950,81.78795961465667,18.21204038534333
Kerala,Fruits,2025-07-01,3000,0.11853838427996471,99.88146161572004
Uttarakhand,Vegetables,2023-07-15,1500,34.456514372327405,65.5434856276726
Karnataka,Cereals,2025-01-09,950,87.44580595295729,12.554194047042714
Punjab,Fruits,2026-04-25,650,53.09989627079038,46.90010372920962
Gujarat,Pulses,2024-08-27,800,44.18461904158063,55.81538095841937
Andhra Pradesh,Fruits,2026-06-25,1000,48.47834321474203,51.52165678525797
Arunachal Pradesh,Vegetables,2026-09-04,2800,0.32919532657607575,99.67080467342393
Gujarat,Cereals,2025-09-23,800,81.67349606768484,18.326503932315163
Andhra Pradesh,Cereals,2026-06-24,1000,82.8537400494122,17.146259950587805
Tamil Nadu,Fruits,2024-10-31,1000,57.62889927697959,42.37110072302041
Uttarakhand,Cereals,2024-12-04,1500,47.567176645032774,52.432823354967226
Himachal Pradesh,Vegetables,2026-02-05,1600,35.30965887936014,64.69034112063986
Assam,Cereals,2026-05-02,2000,11.251076359068328,88.74892364093168
Mizoram,Cereals,2024-07-19,2400,2.937793745947854,97.06220625405214
Nagaland,Fruits,2024-10-02,2100,5.901951644766731,94.09804835523327
Mizoram,Cereals,2024-03-17,2400,2.5128916614414356,97.48710833855857
Bihar,Pulses,2026-06-28,1100,33.48000087959046,66.51999912040954
Mizoram,Cereals,2023-01-14,2400,3.1602152136888924,96.83978478631111
Tamil Nadu,Pulses,2026-03-09,1000,48.23720076359175,51.76279923640825
Manipur,Pulses,2023-06-22,2200,3.489041838290986,96.51095816170901
Meghalaya,Vegetables,2026-05-11,2600,0.8918041567381767,99.10819584326183
Himachal Pradesh,Cereals,2025-08-15,1600,39.44762350911601,60.55237649088399
Mizoram,Pulses,2023-04-15,2400,1.7303592234589191,98.26964077654108
Chhattisgarh,Fruits,2023-12-05,1300,45.8245845503762,54.1754154496238
Jharkhand,Pulses,2024-04-02,1400,33.51075799485154,66.48924200514847
Mizoram,Vegetables,2025-05-27,2400,2.344948123184438,97.65505187681556
Gujarat,Pulses,2025-01-23,800,41.53963832778268,58.46036167221732
Goa,Vegetables,2026-03-28,3000,0.14617779623026045,99.85382220376974
Karnataka,Vegetables,2023-07-12,950,76.14755491987539,23.85244508012461
Chhattisgarh,Pulses,2025-09-08,1300,30.150369869661702,69.8496301303383
Nagaland,Fruits,2026-01-27,2100,5.4175071775216725,94.58249282247833
Madhya Pradesh,Fruits,2026-12-06,1000,50.23179282337668,49.76820717662332
Odisha,Cereals,2026-08-23,1500,50.17301432441789,49.82698567558211
Mizoram,Vegetables,2026-11-30,2400,2.721328083922157,97.27867191607784
Tripura,Fruits,2025-11-24,2300,3.0348615106630055,96.965138489337
Sikkim,Cereals,2025-03-10,1800,26.02570922766143,73.97429077233858
Odisha,Vegetables,2025-04-28,1500,38.38910898049684,61.61089101950316
West Bengal,Vegetables,2025-05-07,1600,30.28020053107301,69.719799468927
Uttar Pradesh,Cereals,2026-12-29,900,77.68648432261843,22.313515677381574
Rajasthan,Vegetables,2023-02-08,300,31.32476567777607,68.67523432222393
Sikkim,Fruits,2024-07-28,1800,18.133052379326617,81.86694762067339
Bihar,Fruits,2024-12-03,1100,39.27012576360157,60.72987423639843
Tamil Nadu,Cereals,2026-04-17,1000,70.24231825841697,29.757681741583028
Tamil Nadu,Vegetables,2023-05-25,1000,65.96162476356311,34.03837523643689
Assam,Fruits,2024-03-11,2000,8.14202923070734,91.85797076929266
Punjab,Fruits,2023-11-10,650,54.66127251283151,45.33872748716849
Meghalaya,Vegetables,2024-10-20,2600,1.0686701030219639,98.93132989697804
Haryana,Cereals,2026-08-06,650,69.64463892966756,30.355361070332435
Punjab,Pulses,2023-01-18,650,53.30159557075773,46.69840442924227
Uttarakhand,Fruits,2025-05-05,1500,33.56760153962068,66.43239846037932
Maharashtra,Vegetables,2023-11-19,900,75.0743216230716,24.925678376928403
Haryana,Vegetables,2025-02-14,650,64.96460206992114,35.03539793007886
Tamil Nadu,Fruits,2026-12-25,1000,51.29235701360858,48.70764298639142
Mizoram,Fruits,2026-06-04,2400,1.8263712258536686,98.17362877414634
Gujarat,Vegetables,2025-03-15,800,63.03022248880621,36.96977751119379
Himachal Pradesh,Vegetables,2025-01-25,1600,32.90474514027742,67.09525485972259
Chhattisgarh,Vegetables,2026-06-18,1300,46.30567418606834,53.69432581393166
Goa,Vegetables,2023-06-07,3000,0.1371367987417092,99.86286320125829
Karnataka,Fruits,2025-05-17,950,54.98623314849322,45.01376685150678
Mizoram,Fruits,2024-01-21,2400,1.7245743561805589,98.27542564381945
Sikkim,Pulses,2024-11-13,1800,14.979774415309386,85.02022558469062
Mizoram,Fruits,2026-09-21,2400,2.2369043400399637,97.76309565996003
Odisha,Pulses,2026-09-14,1500,26.789163102275513,73.21083689772449
Jharkhand,Cereals,2026-10-26,1400,48.94235159641547,51.05764840358453
Mizoram,Fruits,2026-01-28,2400,1.9986343615847662,98.00136563841524
Bihar,Vegetables,2023-05-24,1100,57.46456873548459,42.53543126451541
Uttar Pradesh,Fruits,2024-03-17,900,41.86727457415293,58.13272542584707
Tripura,Cereals,2026-08-30,2300,4.403486075880958,95.59651392411904
Uttarakhand,Vegetables,2023-09-03,1500,37.11035841200774,62.88964158799226
Meghalaya,Cereals,2024-01-18,2600,1.2669110695930408,98.73308893040696
Tripura,Vegetables,2024-06-03,2300,3.939418765043677,96.06058123495632
Assam,Pulses,2023-10-03,2000,7.908101900614188,92.09189809938582
Kerala,Cereals,2023-09-15,3000,0.1770787451535593,99.82292125484643
Haryana,Vegetables,2023-03-21,650,65.13638925167088,34.86361074832912
Assam,Fruits,2026-10-20,2000,8.727793743885831,91.27220625611417
Nagaland,Cereals,2026-09-04,2100,9.110553548653705,90.88944645134629
Goa,Vegetables,2025-10-25,3000,0.12788591390489898,99.8721140860951
Tamil Nadu,Cereals,2024-12-22,1000,75.77913764617074,24.22086235382926
Himachal Pradesh,Pulses,2024-10-20,1600,19.694645595647245,80.30535440435276
Meghalaya,Cereals,2023-11-18,2600,1.072356514119617,98.92764348588038
Sikkim,Cereals,2024-02-28,1800,21.443594301224987,78.55640569877501
Assam,Pulses,2026-11-29,2000,7.989921343716708,92.0100786562833
Arunachal Pradesh,Fruits,2025-01-26,2800,0.25872579083954567,99.74127420916045
Gujarat,Cereals,2024-04-06,800,76.1492147242597,23.850785275740293
Uttarakhand,Pulses,2024-05-25,1500,26.849566435967695,73.15043356403231
Andhra Pradesh,Fruits,2024-06-14,1000,47.33640827215639,52.66359172784361
Manipur,Pulses,2024-07-17,2200,3.9937634117381084,96.00623658826188
Gujarat,Vegetables,2025-09-14,800,75.19896161973257,24.80103838026743
Odisha,Fruits,2025-12-18,1500,31.56921839099475,68.43078160900525
Nagaland,Vegetables,2025-07-28,2100,7.564847175451435,92.43515282454857
Karnataka,Pulses,2025-01-20,950,51.10485791615957,48.89514208384043
Chhattisgarh,Fruits,2025-08-07,1300,44.50078311505199,55.49921688494801
Karnataka,Vegetables,2024-05-15,950,71.76463335617909,28.23536664382091
Maharashtra,Vegetables,2025-12-19,900,73.24268493619952,26.757315063800476
Himachal Pradesh,Fruits,2025-11-16,1600,26.148426825878555,73.85157317412144
Nagaland,Vegetables,2026-06-30,2100,8.398563282196413,91.60143671780358
Assam,Vegetables,2026-05-04,2000,9.529605988527804,90.4703940114722
Maharashtra,Pulses,2024-12-13,900,48.66040882069741,51.33959117930259
Kerala,Cereals,2025-12-14,3000,0.16823977319183084,99.83176022680817
Himachal Pradesh,Vegetables,2025-04-07,1600,36.43334483865317,63.56665516134683
Andhra Pradesh,Vegetables,2026-08-23,1000,63.2797278831651,36.7202721168349
Madhya Pradesh,Fruits,2025-08-15,1000,54.77490919872087,45.22509080127913
Uttarakhand,Cereals,2025-12-03,1500,42.30833608948054,57.69166391051946
Punjab,Pulses,2026-07-13,650,54.28309666381094,45.71690333618906
Uttar Pradesh,Fruits,2025-06-28,900,55.50963961655357,44.49036038344643
West Bengal,Cereals,2024-02-12,1600,35.668254954231834,64.33174504576817
Chhattisgarh,Fruits,2025-10-31,1300,34.80337532167223,65.19662467832777
Arunachal Pradesh,Pulses,2025-04-09,2800,0.2673250047992143,99.73267499520078
Telangana,Cereals,2023-05-13,900,89.89115302099158,10.108846979008419
Arunachal Pradesh,Vegetables,2025-03-21,2800,0.307296005827251,99.69270399417275
Bihar,Fruits,2026-09-01,1100,36.810439192152465,63.189560807847535
Sikkim,Vegetables,2023-01-22,1800,16.557047251212797,83.4429527487872
Karnataka,Pulses,2023-08-18,950,44.29227645280817,55.70772354719183
Tamil Nadu,Cereals,2024-11-05,1000,71.74623255355993,28.253767446440065
Himachal Pradesh,Cereals,2024-07-12,1600,40.31915204236998,59.68084795763002
Meghalaya,Cereals,2025-09-13,2600,1.235073462437836,98.76492653756216
Sikkim,Pulses,2023-04-05,1800,15.333649946429073,84.66635005357092
Assam,Fruits,2026-09-14,2000,9.572578221494279,90.42742177850572
Manipur,Pulses,2026-12-28,2200,4.359583745296634,95.64041625470337
Odisha,Pulses,2024-01-29,1500,28.537604852536337,71.46239514746367
Gujarat,Vegetables,2025-08-30,800,66.42189742979757,33.57810257020243
Chhattisgarh,Fruits,2024-11-30,1300,41.49777404561393,58.50222595438607
Andhra Pradesh,Fruits,2024-07-29,1000,51.489671660785284,48.510328339214716
Haryana,Vegetables,2023-09-18,650,71.80444548329616,28.195554516703837
Maharashtra,Pulses,2024-08-17,900,47.90205895934142,52.09794104065858
Tamil Nadu,Cereals,2024-10-06,1000,78.6429390759296,21.357060924070396
Odisha,Fruits,2025-05-30,1500,31.156217622319872,68.84378237768013
Goa,Cereals,2023-05-10,3000,0.1452545294027872,99.85474547059721
Uttar Pradesh,Cereals,2026-03-03,900,68.84656830388091,31.153431696119085
Himachal Pradesh,Pulses,2025-07-04,1600,21.996674953658545,78.00332504634146
Mizoram,Vegetables,2024-10-19,2400,2.408793373316047,97.59120662668396
West Bengal,Fruits,2026-11-04,1600,30.189224598628982,69.81077540137102
Jharkhand,Cereals,2026-05-11,1400,47.85672008072281,52.14327991927719
Chhattisgarh,Cereals,2025-01-19,1300,60.479816510061916,39.520183489938084
Karnataka,Pulses,2026-10-16,950,53.89358102786169,46.10641897213831
Uttarakhand,Vegetables,2026-12-29,1500,41.77354717597088,58.22645282402912
Uttar Pradesh,Cereals,2025-10-01,900,77.68267633740511,22.317323662594887
Mizoram,Pulses,2024-05-20,2400,1.9140507642285238,98.08594923577148
Uttarakhand,Pulses,2024-03-13,1500,26.67294653937509,73.32705346062491
Nagaland,Fruits,2026-03-16,2100,6.148725571067122,93.85127442893288
Jharkhand,Vegetables,2023-05-17,1400,46.266276685591784,53.733723314408216
Odisha,Pulses,2026-03-11,1500,28.032406075542255,71.96759392445774
Telangana,Pulses,2023-06-05,900,42.505812338242976,57.494187661757024
Arunachal Pradesh,Fruits,2026-07-14,2800,0.2931732954016897,99.70682670459831
Bihar,Cereals,2024-02-10,1100,65.77669346821298,34.22330653178702
Tamil Nadu,Pulses,2023-02-05,1000,42.96525183846728,57.03474816153272
Goa,Cereals,2026-12-21,3000,0.14459974911814766,99.85540025088186
Bihar,Fruits,2025-11-07,1100,44.55182969903748,55.44817030096252
Telangana,Pulses,2026-07-22,900,56.3389743144806,43.6610256855194
Uttar Pradesh,Cereals,2024-02-05,900,77.9186963101734,22.081303689826598
Madhya Pradesh,Cereals,2025-09-23,1000,64.14856384256822,35.85143615743178
Tripura,Cereals,2026-04-16,2300,4.020466457009513,95.97953354299048
Bihar,Vegetables,2025-09-03,1100,44.47049378777487,55.52950621222513
Manipur,Vegetables,2025-06-22,2200,5.3579786570118815,94.64202134298812
Rajasthan,Vegetables,2026-12-14,300,30.05346603156612,69.94653396843388
Gujarat,Vegetables,2024-04-07,800,76.25726482485712,23.742735175142883
Maharashtra,Pulses,2026-10-25,900,51.72693928785116,48.27306071214884
Madhya Pradesh,Vegetables,2025-11-02,1000,60.41648387964953,39.58351612035047
Andhra Pradesh,Fruits,2023-01-07,1000,49.7192654158265,50.2807345841735
Mizoram,Pulses,2024-01-30,2400,1.794038392160601,98.2059616078394
Bihar,Cereals,2026-02-22,1100,58.66222221714369,41.33777778285631
Telangana,Vegetables,2023-09-27,900,79.04129549833429,20.958704501665707
West Bengal,Vegetables,2026-01-27,1600,37.530784959777904,62.469215040222096
Maharashtra,Vegetables,2026-06-03,900,68.01350174655728,31.98649825344272
Tamil Nadu,Pulses,2024-04-01,1000,48.61722454809211,51.38277545190789
Telangana,Fruits,2026-01-19,900,56.7582739264827,43.2417260735173
Mizoram,Vegetables,2025-03-15,2400,2.4598744244960598,97.54012557550394
Karnataka,Fruits,2023-04-03,950,48.71278173966239,51.28721826033761
Nagaland,Fruits,2026-09-03,2100,5.5323540022973265,94.46764599770268
Sikkim,Pulses,2026-02-27,1800,14.885433507544306,85.1145664924557
Odisha,Vegetables,2025-01-26,1500,39.108607973199646,60.891392026800354
Goa,Cereals,2023-12-27,3000,0.13996756946878197,99.86003243053122
Gujarat,Cereals,2026-07-01,800,69.63812536439058,30.361874635609425
Mizoram,Cereals,2025-05-29,2400,2.9276977755304348,97.07230222446957
Goa,Vegetables,2024-02-20,3000,0.13097078320060943,99.86902921679939
Nagaland,Cereals,2024-03-18,2100,8.500651878343163,91.49934812165684
Bihar,Vegetables,2026-09-04,1100,56.83702253876358,43.16297746123642
Arunachal Pradesh,Vegetables,2024-12-28,2800,0.34105920682973784,99.65894079317026
Andhra Pradesh,Fruits,2026-01-08,1000,48.923423730911836,51.076576269088164
Nagaland,Pulses,2025-11-13,2100,5.91065965468293,94.08934034531707
Tripura,Cereals,2024-03-03,2300,4.462982643651835,95.53701735634816
Bihar,Vegetables,2025-07-19,1100,51.08155025761549,48.91844974238451
Uttarakhand,Vegetables,2025-11-06,1500,36.7634272939922,63.2365727060078
Assam,Fruits,2024-02-16,2000,7.924906588896799,92.0750934111032
Goa,Vegetables,2025-04-15,3000,0.14716447297053395,99.85283552702947
Kerala,Pulses,2026-04-05,3000,0.10033701491846427,99.89966298508153
Assam,Pulses,2024-06-15,2000,6.819509871144881,93.18049012885513
Manipur,Fruits,2023-02-07,2200,5.0639650117714,94.9360349882286
Telangana,Vegetables,2025-01-16,900,61.19967343792292,38.80032656207708
Madhya Pradesh,Pulses,2024-01-13,1000,45.309929025536206,54.690070974463794
Uttarakhand,Vegetables,2025-01-12,1500,40.07008654838622,59.92991345161378
Goa,Vegetables,2025-05-05,3000,0.15842905546478595,99.84157094453522
Mizoram,Fruits,2023-09-19,2400,2.2299183841555896,97.7700816158444
Assam,Vegetables,2023-03-01,2000,9.999365418266972,90.00063458173302
Haryana,Vegetables,2024-06-28,650,75.72476266540777,24.275237334592234
Goa,Vegetables,2025-06-19,3000,0.15824084587379908,99.8417591541262
Meghalaya,Vegetables,2026-10-20,2600,1.0282212506938453,98.97177874930615
Sikkim,Cereals,2023-11-14,1800,20.845046292600816,79.15495370739919
Meghalaya,Fruits,2026-03-28,2600,0.9107023926186111,99.08929760738138
Odisha,Fruits,2026-07-16,1500,29.765817952449215,70.23418204755079
Mizoram,Vegetables,2025-06-26,2400,2.1059358938335984,97.8940641061664
Himachal Pradesh,Pulses,2024-02-10,1600,21.97748959986064,78.02251040013937
Madhya Pradesh,Cereals,2024-01-14,1000,74.89946765676855,25.10053234323145
Nagaland,Fruits,2024-07-07,2100,5.87486011895102,94.12513988104898
Arunachal Pradesh,Cereals,2026-01-15,2800,0.3535373280654748,99.64646267193453
Mizoram,Vegetables,2025-07-02,2400,2.621364010138976,97.37863598986102
Gujarat,Pulses,2024-11-01,800,45.012173238337816,54.987826761662184
Tamil Nadu,Vegetables,2023-04-04,1000,71.2746522082725,28.7253477917275
Rajasthan,Cereals,2026-08-26,300,35.88102837763357,64.11897162236643
Assam,Cereals,2024-02-23,2000,13.99822833186457,86.00177166813543
Bihar,Cereals,2025-12-08,1100,56.78849694676775,43.21150305323225
Andhra Pradesh,Pulses,2023-10-22,1000,49.81310833878445,50.18689166121555
Chhattisgarh,Vegetables,2024-03-27,1300,47.354637689482544,52.645362310517456
Uttarakhand,Fruits,2023-10-09,1500,29.68338182926336,70.31661817073663
Manipur,Vegetables,2024-02-14,2200,6.184469864889176,93.81553013511082
Uttarakhand,Fruits,2023-01-18,1500,28.473280920945356,71.52671907905464
Assam,Fruits,2024-03-13,2000,10.252143020319966,89.74785697968004
Tamil Nadu,Vegetables,2025-02-20,1000,64.52261148659777,35.47738851340223
Assam,Fruits,2025-02-13,2000,7.776761704411708,92.22323829558829
Mizoram,Pulses,2024-06-30,2400,1.664009889994972,98.33599011000503
Tripura,Vegetables,2025-03-09,2300,4.101207415736478,95.89879258426352
Himachal Pradesh,Fruits,2024-03-31,1600,23.98628516062104,76.01371483937896
Gujarat,Fruits,2025-06-21,800,61.80454511383287,38.19545488616713
Uttarakhand,Vegetables,2023-11-15,1500,37.50896567531549,62.49103432468451
Telangana,Pulses,2025-04-09,900,46.29229153739679,53.70770846260321
Uttarakhand,Vegetables,2023-04-10,1500,41.967578405067854,58.032421594932146
West Bengal,Cereals,2025-06-16,1600,41.39308380456266,58.60691619543734
Kerala,Pulses,2025-04-03,3000,0.11387963852985625,99.88612036147015
Tamil Nadu,Vegetables,2023-11-10,1000,63.0922088560001,36.9077911439999
Tripura,Pulses,2025-08-12,2300,2.5272477340085135,97.47275226599149
Madhya Pradesh,Cereals,2024-01-21,1000,82.34988010876889,17.650119891231114
Odisha,Cereals,2024-12-10,1500,43.25170451732382,56.74829548267618
Jharkhand,Fruits,2024-10-10,1400,39.74035445440005,60.25964554559995
