Date,State,InfraLevel,VehicleType,Distance,TransitTime,DelayHours,FuelCost,LogisticsRisk
2025-06-02,Meghalaya,High,Mini Truck,1475.2,248.96,47.71,1881.64,413.36
2023-10-07,Maharashtra,High,Rail Freight,1198.08,87.69,4.33,1010.0,192.69
2023-04-01,Chhattisgarh,Medium,Mini Truck,262.68,40.59,7.62,304.0,66.91
2023-01-22,Andhra Pradesh,Very High,Rail Freight,1155.05,98.78,3.18,1009.12,197.09
2025-11-09,Manipur,Medium,Rail Freight,120.88,15.83,3.13,83.62,20.92
2023-02-12,Maharashtra,Very High,Truck,1237.86,117.82,3.24,1028.86,208.65
2025-01-26,Telangana,Very High,Truck,334.02,34.89,1.47,308.34,62.54
2025-01-07,Maharashtra,High,Rail Freight,1269.45,90.89,4.25,783.6,160.14
2024-12-28,Karnataka,Medium,Refrigerated,808.12,75.81,9.05,753.49,150.75
2024-06-03,Mizoram,Very High,Truck,462.73,72.3,2.25,455.39,101.74
2025-03-17,Assam,Medium,Rail Freight,814.83,90.05,21.32,585.09,136.81
2024-09-28,Arunachal Pradesh,High,Truck,1220.65,185.99,25.54,1447.7,311.07
2025-01-21,Uttarakhand,Very High,Refrigerated,1019.68,105.5,3.41,773.97,164.93
2023-07-16,Maharashtra,Very High,Mini Truck,682.73,74.31,4.15,934.1,175.21
2025-08-19,Gujarat,Medium,Mini Truck,1262.62,138.67,59.77,1574.18,322.44
2024-12-24,Nagaland,Low,Mini Truck,161.93,27.4,13.91,212.48,49.77
2025-10-16,Sikkim,Medium,Truck,629.49,83.19,20.59,609.49,137.09
2024-06-17,Tamil Nadu,Medium,Truck,1331.37,142.91,49.98,1339.2,285.18
2023-03-06,Telangana,Low,Refrigerated,491.48,43.1,18.74,361.49,81.11
2024-04-08,Odisha,Low,Rail Freight,325.52,32.33,9.14,266.05,58.11
2025-10-17,Uttar Pradesh,Low,Mini Truck,720.33,104.43,28.94,890.75,192.18
2024-01-07,Karnataka,Very High,Rail Freight,1047.62,85.32,3.07,741.98,150.92
2023-02-28,Uttarakhand,Low,Rail Freight,1071.31,97.51,16.27,946.93,192.43
2026-08-30,Odisha,Medium,Mini Truck,1264.32,182.89,60.51,1527.32,335.61
2025-06-04,Mizoram,Very High,Truck,943.38,141.01,9.65,935.22,207.6
2024-01-17,Goa,Low,Mini Truck,434.6,53.19,23.97,468.02,103.73
2024-05-08,Meghalaya,Low,Rail Freight,1411.71,154.15,36.59,956.71,227.51
2024-12-02,Sikkim,Medium,Truck,820.78,109.7,19.57,812.27,179.04
2026-05-24,Sikkim,Low,Mini Truck,1473.03,219.61,90.96,1469.46,355.62
2025-02-05,Assam,Very High,Truck,1218.52,170.26,6.61,1452.28,297.1
2023-09-21,Madhya Pradesh,Very High,Refrigerated,367.05,39.82,1.84,280.99,60.8
2026-05-11,Mizoram,Very High,Refrigerated,875.21,114.68,4.93,633.06,148.54
2026-03-31,Manipur,High,Refrigerated,262.26,34.44,3.77,187.68,45.16
2025-05-10,Nagaland,Medium,Rail Freight,1218.71,132.36,17.79,732.16,176.5
2023-02-22,Assam,Very High,Mini Truck,250.17,44.94,2.94,342.46,72.77
2025-03-19,Sikkim,High,Refrigerated,860.42,97.47,11.3,725.31,157.18
2026-06-30,Karnataka,Medium,Refrigerated,1353.22,122.37,20.58,1046.7,220.3
2026-07-02,Manipur,High,Truck,1102.29,154.5,25.52,1038.02,235.44
2023-07-08,Meghalaya,Very High,Mini Truck,891.3,151.62,10.72,1149.41,244.93
2026-05-28,Assam,Very High,Rail Freight,1264.63,133.03,4.11,861.59,190.75
2023-10-20,Tamil Nadu,Low,Refrigerated,1427.75,130.94,46.29,1232.48,262.31
2023-10-22,Mizoram,High,Mini Truck,426.42,73.85,5.98,450.02,103.13
2026-08-07,Punjab,Very High,Mini Truck,244.59,29.35,1.51,327.5,62.94
2026-12-03,Uttarakhand,Low,Rail Freight,959.33,91.25,27.38,774.79,168.23
2023-04-24,Uttarakhand,Low,Rail Freight,1449.12,133.28,20.65,989.09,216.6
2024-12-22,Uttarakhand,High,Rail Freight,215.29,21.11,2.2,178.08,37.09
2024-10-20,Haryana,Medium,Refrigerated,305.97,31.21,8.35,305.09,63.15
2025-02-14,Uttarakhand,Very High,Mini Truck,899.2,128.13,4.84,1045.41,216.4
2024-10-09,Bihar,Very High,Mini Truck,1494.57,251.1,15.37,1424.01,332.74
2026-05-03,Goa,Medium,Truck,898.27,92.43,28.91,719.6,161.1
2024-05-03,Sikkim,Low,Truck,1344.41,177.22,70.14,1228.04,292.01
2026-07-05,Karnataka,Medium,Refrigerated,435.36,42.02,12.21,315.51,71.12
2024-06-26,Rajasthan,Medium,Refrigerated,141.75,24.11,3.8,130.62,31.96
2024-10-06,Mizoram,Medium,Truck,665.92,101.95,31.15,657.95,157.03
2025-12-31,Rajasthan,High,Rail Freight,157.1,23.49,1.8,133.49,31.31
2024-01-25,Andhra Pradesh,Low,Refrigerated,541.55,55.24,9.72,435.01,93.99
2025-12-23,Tamil Nadu,Medium,Truck,1415.98,148.56,28.16,1311.11,274.78
2026-08-04,Punjab,Very High,Mini Truck,460.81,52.85,4.34,541.51,106.75
2024-12-26,Sikkim,Very High,Mini Truck,175.2,31.52,1.58,165.74,39.68
2025-03-20,Nagaland,Low,Mini Truck,402.8,69.86,20.22,446.5,106.5
2024-10-06,Sikkim,Very High,Truck,877.95,115.47,7.21,852.97,182.79
2023-01-27,West Bengal,Low,Rail Freight,1137.29,99.03,31.06,867.33,187.09
2023-02-15,Kerala,Medium,Refrigerated,606.33,60.91,13.82,527.33,112.04
2023-07-21,Karnataka,High,Truck,281.41,32.48,4.86,283.4,59.07
2025-07-03,Kerala,Medium,Rail Freight,1026.76,84.88,12.33,892.08,176.94
2026-09-24,Chhattisgarh,Medium,Rail Freight,928.86,93.48,12.85,746.03,159.11
2025-06-14,Chhattisgarh,Medium,Truck,363.73,51.84,15.9,394.42,88.85
2024-05-13,Haryana,High,Refrigerated,988.35,90.4,11.44,906.34,181.21
2023-07-01,Uttarakhand,High,Refrigerated,777.91,80.25,11.21,547.01,122.65
2026-10-28,Jharkhand,High,Mini Truck,1285.01,203.88,16.04,1306.02,294.06
2023-11-06,Bihar,Medium,Truck,1320.79,192.96,25.6,1167.51,272.2
2026-07-26,Chhattisgarh,High,Refrigerated,1117.33,123.69,9.56,862.02,188.79
2024-05-10,Jharkhand,Medium,Truck,858.28,118.04,26.01,862.02,192.83
2024-04-19,Mizoram,Very High,Rail Freight,678.57,77.29,2.97,551.27,118.66
2024-01-23,Tamil Nadu,High,Rail Freight,1260.3,103.52,8.57,1002.78,200.43
2026-09-20,Arunachal Pradesh,Low,Rail Freight,361.74,45.83,18.49,223.89,61.6
2024-09-18,Odisha,High,Rail Freight,913.36,88.55,9.67,633.11,138.68
2023-09-30,Uttar Pradesh,Low,Truck,594.21,76.13,27.91,534.11,125.54
2025-12-06,Chhattisgarh,Very High,Mini Truck,650.42,97.28,5.67,608.26,137.28
2026-05-12,Tripura,Very High,Rail Freight,728.14,76.46,1.71,482.82,107.52
2026-11-15,Uttarakhand,Low,Truck,1150.48,138.97,41.7,1358.97,283.06
2026-07-21,Kerala,High,Truck,1381.47,149.8,17.0,1477.91,295.9
2026-05-18,Odisha,Very High,Mini Truck,503.41,74.42,5.19,630.2,130.1
2025-09-20,Meghalaya,Low,Refrigerated,395.18,53.51,11.63,313.97,75.83
2023-03-01,Goa,Very High,Truck,352.26,40.5,1.45,411.39,80.51
2024-01-09,Arunachal Pradesh,High,Refrigerated,1319.79,174.94,17.27,1040.61,241.72
2025-08-27,Mizoram,Medium,Refrigerated,1147.31,147.62,54.63,954.18,231.41
2025-03-26,Andhra Pradesh,Low,Mini Truck,912.65,122.12,36.42,1157.19,243.1
2024-09-09,Madhya Pradesh,Low,Mini Truck,1065.48,145.47,53.45,1232.79,271.76
2025-11-04,Andhra Pradesh,Very High,Mini Truck,1126.27,147.08,4.75,1498.54,292.87
2025-08-10,Karnataka,Medium,Refrigerated,244.06,22.27,6.84,187.55,40.89
2026-01-27,Himachal Pradesh,High,Rail Freight,1324.36,121.94,13.97,907.36,196.57
2023-01-21,Andhra Pradesh,Low,Rail Freight,538.89,50.6,8.7,469.36,96.65
2024-05-20,Madhya Pradesh,Low,Rail Freight,905.31,83.79,31.41,636.53,145.75
2023-12-19,Sikkim,High,Mini Truck,1235.73,186.83,27.34,1508.26,321.25
2023-10-04,Meghalaya,Very High,Truck,862.03,125.2,6.6,743.56,170.51
2023-09-23,Manipur,Medium,Mini Truck,988.41,160.32,45.42,1073.92,251.4
2025-08-25,Sikkim,High,Rail Freight,217.07,23.16,1.67,136.25,31.53
2024-09-09,Nagaland,High,Refrigerated,146.78,22.37,2.0,122.53,29.25
2023-08-25,Tamil Nadu,High,Mini Truck,1357.99,165.12,19.44,1278.67,273.88
2026-09-20,Jharkhand,Low,Truck,220.42,32.87,8.97,244.23,55.02
2025-10-23,West Bengal,Low,Truck,1253.64,141.96,51.22,1244.53,271.05
2024-07-20,Gujarat,Medium,Truck,584.06,59.46,16.17,663.23,132.71
2023-08-17,Kerala,High,Truck,653.37,75.46,8.64,543.14,118.89
2024-08-20,Bihar,Very High,Refrigerated,430.17,55.4,2.1,352.58,78.66
2024-08-06,Sikkim,High,Refrigerated,258.5,33.71,4.8,184.73,44.8
2025-09-26,Madhya Pradesh,High,Truck,156.96,22.82,2.22,180.87,38.29
2023-01-08,Jharkhand,Low,Mini Truck,701.74,110.4,42.56,784.63,184.4
2026-09-01,Rajasthan,Low,Refrigerated,911.88,134.89,65.67,682.17,189.29
2024-01-20,Chhattisgarh,Very High,Truck,1227.26,160.91,10.25,1448.54,293.79
2026-12-18,Goa,High,Rail Freight,1286.72,99.99,5.34,1070.39,207.69
2026-10-06,Goa,Very High,Truck,323.16,36.43,1.79,338.62,67.9
2025-04-23,Uttarakhand,Low,Mini Truck,1347.82,187.65,54.23,1563.75,340.69
2024-05-30,Tamil Nadu,Low,Mini Truck,435.61,53.43,20.5,571.77,118.01
2025-09-09,Uttarakhand,Low,Truck,997.03,122.92,37.31,886.88,203.27
2023-07-02,Mizoram,Medium,Rail Freight,1041.15,115.76,18.91,889.27,193.05
2026-03-17,Gujarat,High,Truck,1203.32,118.7,12.33,1221.12,241.52
2024-11-21,Rajasthan,High,Truck,1445.49,246.56,22.6,1565.55,354.82
2026-05-26,Uttarakhand,High,Refrigerated,476.26,54.13,6.23,417.64,89.49
2023-03-28,West Bengal,Medium,Truck,1242.88,143.85,44.52,1366.96,287.58
2023-01-28,Arunachal Pradesh,Very High,Mini Truck,897.75,161.88,7.51,998.11,225.57
2026-05-13,Goa,Very High,Truck,1444.8,145.97,4.95,1311.0,264.32
2025-07-06,Uttar Pradesh,Low,Rail Freight,746.72,73.57,23.32,568.56,127.72
2024-12-16,Manipur,Medium,Mini Truck,595.63,96.68,30.77,595.41,145.13
2026-02-07,Uttarakhand,Very High,Refrigerated,804.46,83.85,2.61,729.58,148.21
2023-08-24,Jharkhand,Low,Rail Freight,179.23,22.35,6.29,122.59,30.96
2026-04-29,Chhattisgarh,Medium,Refrigerated,174.75,24.36,5.67,169.29,38.62
2026-07-13,Kerala,Low,Rail Freight,858.77,71.34,20.4,594.15,129.38
2023-05-21,Karnataka,Medium,Refrigerated,1028.3,90.2,15.39,768.22,161.98
2023-06-16,West Bengal,Low,Mini Truck,1449.63,186.24,122.29,1730.7,392.33
2025-09-06,Sikkim,Very High,Mini Truck,1344.11,200.75,16.83,1261.74,286.33
2023-10-05,Tamil Nadu,Low,Mini Truck,1304.2,159.44,55.33,1791.09,362.54
2024-02-17,Chhattisgarh,High,Mini Truck,634.58,95.51,8.4,628.48,140.61
2025-08-14,Karnataka,Very High,Mini Truck,553.62,66.05,6.53,568.26,117.57
2023-03-25,Chhattisgarh,Very High,Rail Freight,202.34,25.0,1.18,174.88,37.96
2025-02-24,Arunachal Pradesh,Low,Mini Truck,1041.64,186.14,100.44,1352.74,326.85
2024-05-28,Chhattisgarh,High,Rail Freight,871.06,84.77,7.57,767.52,156.3
2023-07-25,Jharkhand,Medium,Refrigerated,1099.01,131.54,39.36,884.16,207.56
2024-01-23,Maharashtra,Medium,Mini Truck,1385.49,149.71,36.18,1619.85,324.82
2025-10-14,Telangana,Medium,Refrigerated,1475.58,128.28,24.8,1287.13,260.71
2026-07-08,Sikkim,High,Refrigerated,766.43,85.93,9.56,561.42,126.71
2023-02-12,Odisha,Medium,Refrigerated,936.92,100.79,22.68,842.1,180.74
2025-04-17,Tripura,Low,Truck,1369.5,185.32,61.75,1311.44,304.81
2026-05-09,West Bengal,Low,Truck,1258.46,144.33,62.73,1156.94,263.58
2023-05-24,Arunachal Pradesh,Very High,Truck,825.56,127.24,7.82,936.84,200.91
2023-03-19,Sikkim,Very High,Mini Truck,199.16,33.53,1.68,240.94,51.9
2024-07-14,Tamil Nadu,Very High,Mini Truck,1482.53,182.83,11.44,1490.77,310.47
2025-02-19,Telangana,High,Truck,1105.17,114.01,10.36,909.72,191.91
2024-06-11,Odisha,Medium,Mini Truck,1380.56,196.59,47.47,1287.8,300.63
2023-09-28,Mizoram,Low,Mini Truck,1443.13,246.23,152.52,1901.61,457.05
2026-04-26,Manipur,High,Refrigerated,1296.45,155.32,19.25,970.09,223.11
2023-03-17,Manipur,Low,Mini Truck,631.36,103.3,24.96,769.23,171.85
2026-04-26,Assam,Medium,Mini Truck,1499.92,242.93,37.35,1950.63,416.85
2023-07-14,Jharkhand,Medium,Rail Freight,1297.21,134.31,23.48,1085.95,232.72
2023-05-15,Bihar,Very High,Truck,1088.8,157.59,8.82,990.67,223.05
2026-08-29,Kerala,Low,Mini Truck,1092.19,138.57,70.77,1146.86,262.69
2024-01-24,Bihar,Low,Rail Freight,326.11,36.79,7.05,215.54,51.71
2026-08-21,Chhattisgarh,Very High,Refrigerated,336.02,41.24,2.11,267.76,59.57
2023-03-21,Andhra Pradesh,Very High,Refrigerated,534.13,55.26,2.54,496.38,100.34
2025-12-30,Meghalaya,Medium,Mini Truck,596.82,101.25,27.79,665.15,156.45
2024-10-12,Goa,Medium,Truck,1320.76,131.55,33.42,1145.87,244.45
2023-05-18,Nagaland,Low,Refrigerated,218.09,27.49,5.74,156.78,38.18
2025-06-28,Haryana,Medium,Rail Freight,1453.96,114.85,17.96,928.62,198.16
2023-12-16,Goa,Medium,Rail Freight,1315.65,100.33,13.32,1102.69,215.88
2025-12-11,Andhra Pradesh,Very High,Refrigerated,671.98,65.98,1.84,485.18,103.2
2025-11-13,Meghalaya,Low,Truck,239.0,39.66,18.45,281.91,67.51
2025-08-19,Tripura,Very High,Refrigerated,1295.65,150.47,9.14,1143.81,242.94
2025-01-24,Uttar Pradesh,Low,Refrigerated,964.66,106.3,20.58,717.2,163.65
2026-02-01,West Bengal,Medium,Refrigerated,1207.0,115.11,16.68,909.11,194.84
2023-02-10,Tripura,High,Rail Freight,420.33,46.12,3.8,266.0,62.18
2026-01-04,Odisha,Very High,Mini Truck,877.67,127.49,8.15,1107.31,226.73
2024-04-07,Mizoram,High,Truck,584.61,89.7,5.44,554.42,125.7
2026-01-20,Meghalaya,Medium,Mini Truck,1315.32,219.46,34.25,1536.84,342.99
2023-08-17,Nagaland,Low,Rail Freight,557.18,62.53,19.96,448.4,103.38
2023-08-09,Himachal Pradesh,Medium,Mini Truck,1482.82,208.31,82.2,1890.52,410.2
2026-06-11,Madhya Pradesh,Low,Rail Freight,324.92,31.28,6.64,268.08,56.94
2025-04-29,Manipur,Medium,Rail Freight,133.25,16.52,2.91,81.76,20.86
2024-06-21,Maharashtra,Very High,Truck,474.62,48.62,1.94,386.28,80.6
2026-09-01,Maharashtra,High,Rail Freight,602.25,44.52,5.5,368.84,77.56
2025-07-09,Assam,Medium,Rail Freight,1336.95,143.93,30.31,1164.98,251.64
2024-07-28,Chhattisgarh,Medium,Mini Truck,750.93,112.02,45.51,729.38,178.02
2024-09-03,Punjab,High,Mini Truck,1046.02,114.46,20.85,1288.54,253.13
2025-08-31,Meghalaya,Low,Rail Freight,720.69,83.29,20.41,599.97,135.64
2026-09-22,Telangana,Medium,Mini Truck,1342.87,154.92,45.36,1597.88,327.54
2026-05-27,Telangana,Medium,Mini Truck,146.32,22.07,6.8,198.21,42.38
2025-01-08,Rajasthan,Very High,Truck,1150.98,197.28,6.36,1109.68,257.77
2026-06-14,Haryana,High,Rail Freight,219.9,20.77,1.89,190.18,38.63
2023-01-11,Maharashtra,Medium,Refrigerated,231.3,19.33,3.17,218.22,42.7
2023-05-10,Madhya Pradesh,Very High,Rail Freight,1345.48,118.54,2.62,1083.75,216.95
2024-01-24,Kerala,Low,Rail Freight,248.13,23.55,3.89,165.34,36.95
2023-10-21,Punjab,Low,Refrigerated,1476.59,118.45,33.96,1397.76,276.55
2023-02-22,Goa,Very High,Refrigerated,1068.72,91.71,3.15,962.51,186.91
2025-03-20,Karnataka,Very High,Refrigerated,1014.47,90.3,4.13,737.68,152.94
2025-02-12,Mizoram,Low,Rail Freight,185.08,26.11,7.76,140.33,35.9
2025-09-09,Tripura,High,Mini Truck,1089.69,173.34,25.9,1015.62,240.71
2023-09-22,Haryana,Low,Refrigerated,349.27,35.59,18.77,349.19,75.9
2023-06-28,Telangana,Medium,Rail Freight,877.98,66.8,7.17,707.42,139.04
2024-12-11,Meghalaya,Very High,Refrigerated,880.1,109.97,5.62,611.5,143.46
2026-08-22,Sikkim,Medium,Rail Freight,1118.3,108.83,28.51,718.95,168.22
2024-02-18,Manipur,Low,Truck,1344.37,191.39,74.35,1598.93,355.7
2026-05-25,Odisha,Low,Rail Freight,544.86,55.56,9.18,441.06,94.83
2026-07-14,Nagaland,Medium,Mini Truck,1129.65,186.16,77.42,1132.38,284.6
2025-12-07,Tamil Nadu,Medium,Mini Truck,447.06,59.41,10.66,510.04,107.5
2025-04-23,Chhattisgarh,Medium,Refrigerated,1301.02,143.92,28.15,923.87,214.61
2026-11-05,Jharkhand,Very High,Mini Truck,857.57,138.38,8.91,1093.26,229.82
2025-04-14,Chhattisgarh,Medium,Refrigerated,1055.64,118.42,15.16,982.5,206.73
2023-08-01,Kerala,Low,Rail Freight,712.37,59.9,12.54,551.65,114.72
2023-01-07,Bihar,Very High,Refrigerated,1172.49,148.49,4.11,1188.07,246.67
2026-08-29,Assam,Very High,Truck,1079.03,153.02,6.8,1175.79,247.95
2026-06-20,Uttar Pradesh,High,Refrigerated,1318.04,140.31,11.9,972.14,213.72
2024-12-08,Maharashtra,High,Mini Truck,922.6,99.58,17.34,1195.57,231.08
2025-02-04,Himachal Pradesh,Very High,Refrigerated,532.94,55.49,1.78,399.0,85.53
2026-08-17,Madhya Pradesh,Very High,Rail Freight,1466.89,130.28,5.02,995.51,209.96
2025-07-11,Odisha,Very High,Truck,610.07,79.09,4.81,585.72,125.38
2023-01-31,Bihar,Medium,Refrigerated,1475.67,182.17,36.64,1034.01,251.73
2024-01-11,Rajasthan,Medium,Rail Freight,879.22,111.59,17.36,540.52,138.24
2024-01-24,Meghalaya,Very High,Refrigerated,1117.91,142.36,7.0,942.43,208.23
2024-10-10,Karnataka,Low,Truck,829.58,88.96,45.31,746.9,170.19
2023-03-18,Odisha,High,Rail Freight,1305.75,124.67,6.6,1048.89,216.08
2026-12-22,Sikkim,Medium,Rail Freight,847.88,86.88,12.84,513.42,121.24
2025-04-14,Andhra Pradesh,Very High,Truck,415.12,47.38,2.11,490.28,95.7
2023-08-02,Tamil Nadu,Very High,Rail Freight,247.42,24.06,1.23,148.64,33.62
2026-12-03,Gujarat,High,Refrigerated,591.53,51.2,6.49,493.49,99.66
2023-08-10,Jharkhand,Very High,Refrigerated,1031.02,119.13,4.19,819.8,178.26
2026-07-20,Tamil Nadu,Low,Truck,418.13,45.58,26.65,477.44,102.79
2023-02-01,Chhattisgarh,Low,Rail Freight,1220.4,119.63,18.48,762.86,175.66
2025-07-04,Uttar Pradesh,Medium,Truck,561.71,74.22,25.94,519.24,121.66
2024-12-04,Tripura,Medium,Truck,897.45,124.25,38.05,756.26,184.57
2025-09-26,Uttarakhand,Low,Truck,1439.5,172.93,65.71,1519.37,332.01
2026-02-17,Telangana,Medium,Refrigerated,674.25,58.2,12.18,513.54,108.09
2023-05-24,West Bengal,Low,Mini Truck,422.58,58.61,16.04,578.91,119.63
2023-04-23,Odisha,Low,Refrigerated,753.88,80.04,31.54,766.17,163.56
2023-12-31,Arunachal Pradesh,Very High,Mini Truck,789.76,139.1,6.14,755.19,178.33
2026-11-13,Uttarakhand,Very High,Refrigerated,233.12,25.99,0.87,230.49,46.62
2026-02-05,Kerala,Very High,Rail Freight,476.34,40.02,1.48,320.73,66.71
2026-10-16,Madhya Pradesh,Very High,Truck,1257.23,149.5,8.25,1096.28,235.02
2024-04-12,Uttarakhand,Low,Truck,1404.01,171.58,47.76,1168.93,271.65
2023-05-04,Karnataka,Very High,Truck,458.8,48.9,1.38,367.86,77.74
2023-11-25,Kerala,Low,Rail Freight,1377.08,114.87,42.83,1035.87,224.21
2025-09-01,West Bengal,Low,Rail Freight,473.1,44.95,10.48,296.8,68.94
2024-07-24,Uttar Pradesh,Very High,Mini Truck,662.34,94.57,4.01,823.38,167.67
2024-04-01,Sikkim,Low,Mini Truck,351.87,56.35,21.96,339.59,85.08
2026-11-22,Uttarakhand,High,Refrigerated,217.07,24.85,3.1,202.59,42.81
2023-09-12,Tamil Nadu,Medium,Mini Truck,1434.39,173.4,39.07,1358.81,297.48
2025-12-07,Rajasthan,Very High,Mini Truck,556.51,108.56,5.68,520.49,129.2
2026-02-26,Himachal Pradesh,Medium,Rail Freight,221.6,24.48,4.58,188.29,41.09
2025-04-27,Jharkhand,High,Truck,863.34,120.25,8.4,717.41,165.08
2026-04-05,Rajasthan,Medium,Refrigerated,1117.68,163.95,44.72,827.86,215.84
2023-07-19,Andhra Pradesh,Very High,Mini Truck,476.8,63.46,3.36,651.51,127.63
2023-08-14,Telangana,Low,Truck,1282.29,130.39,40.1,1179.6,251.66
2026-12-22,Nagaland,Medium,Refrigerated,1042.07,127.32,28.21,1011.68,220.33
2023-02-22,Mizoram,Medium,Mini Truck,223.11,39.0,8.31,301.59,66.11
